MJD,PLATE,FIBERID,z,VDISP,VDISP_ERR,mag_u,mag_g,mag_r,mag_i,mag_z,flux_u,flux_g,flux_r,flux_i,flux_z,flux_y,flux_w1,o21,o21_err,o22,o22_err,hb,hb_err,o3,o3_err,o1,o1_err,ha,ha_err,n2,n2_err,s21,s21_err,s22,s22_err,sigma_o3,sigma_o3_err,sigma_hb,sigma_hb_err 
56413,6691,153,0.5440841,203.48148,34.00793,23.50711,22.24875,20.607164,19.5494,19.00633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83036005,0.65420866,0.1624406,0.63284683,5.784456,1.454007,0.07938764,0.61986786,0.7844686,1.1685934,10.845458,7.843451,17.851273,6.6873837,0.0,-2.0,0.0,-2.0,43.539207,12.004846,232.46692,61.714207
57346,10000,3,0.6814627,814.8622,283.95407,22.925264,22.998049,21.834661,20.694874,19.91137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1499261,1.9464245,1.6918392,1.9218235,-3.8855464,2.2727401,-0.17680478,1.5299599,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,108.42264,49.040913,269.54333,69.85514
56413,6691,155,0.49655604,228.08672,31.937782,22.443848,21.393557,19.86569,19.078373,18.612883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.066067,14.724271,13.046726,6.209911,4.506752,1.5931636,3.6449664,1.4152431,-6.27343,5.39376,-1.6720912,1.6219853,0.70297915,3.8910787,3.2371845,5.5514855,5.4843388,7.9306936,206.6609,49.076637,62.69785,13.727616
56413,6691,157,0.5664165,267.2535,49.86626,26.69233,22.396358,20.814821,19.644611,19.209648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.952391,5.334609,-0.3513869,4.89283,-0.037121885,1.983883,1.590683,1.8842741,-17.985659,9.454064,21.68849,26.897106,-24.424364,21.836712,0.0,-2.0,0.0,-2.0,277.33737,66.51834,242.24002,77.89981
56413,6691,159,0.44188508,164.08977,28.370846,23.98581,22.62151,20.454432,19.507786,19.02674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20574082,0.5959867,-0.20692807,0.60149544,-0.44956475,1.4619517,0.5570461,0.5390894,1.1006211,0.7696382,3.1798496,9.154396,1.8928283,1.0211072,5.401335,2.1905775,-1.5517464,4.563642,46.830368,8.668331,275.64526,199.6169
56413,6691,161,0.55333525,250.47672,37.01711,22.434584,21.646208,19.921051,18.947485,18.38574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.05215,41.016865,-50.43261,46.267166,-1.1858541,1.5465672,-2.1368806,3.2373817,-16.888697,12.490204,-1.1230904,17.546843,-48.31434,26.497763,0.0,-2.0,0.0,-2.0,733.56116,151.24382,254.04575,86.40885
57346,10000,11,0.74477136,177.01332,45.807865,24.590622,24.335485,21.80986,20.763472,19.96422,0.0,0.0,0.0,0.0,6.2787676,0.0,25.554358,-5.3292356,6.8539615,4.985576,6.722001,-5.947582,1.8691145,1.8107291,2.269435,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,383.63535,146.91356,232.496,46.27496
56413,6691,163,0.5522315,230.69168,94.24001,21.833271,21.654266,20.417114,19.642391,19.073961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.122296,5.1175613,0.36072037,5.1619706,5.7058625,1.6477815,5.970626,1.709455,12.453886,5.53609,38.62201,16.24149,15.280527,14.300576,0.0,-2.0,0.0,-2.0,238.49574,39.506027,272.69882,75.884636
56413,6691,165,0.5741676,199.59586,35.891674,21.83307,20.700356,19.74989,19.047745,18.672794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6610966,2.731998,11.155887,3.1422987,10.80693,1.4079666,1.8632033,1.7370996,9.934837,5.519536,60.19863,19.112774,0.0,-2.0,0.0,-2.0,0.0,-2.0,179.67317,36.118214,129.95016,15.921805
57346,10000,15,0.60726887,149.7093,67.03133,24.519928,22.964735,21.430487,20.336761,19.514845,0.0,0.0,0.0,0.0,15.424051,0.0,43.704823,1.2516893,1.1864414,3.0337453,1.2766371,-5.7992992,3.782057,0.9430848,0.87231755,-29.594378,13.942842,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,52.127106,10.615663,365.41324,243.79323
56413,6691,167,0.5546422,170.42244,43.48613,21.543814,20.78275,19.674551,18.908455,18.350046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6106067,4.0297804,13.956077,4.921189,5.1950173,1.2940447,6.2157035,1.8262051,-0.6156243,11.579164,44.252335,12.891619,13.761153,13.485531,0.0,-2.0,0.0,-2.0,244.35532,47.24283,152.32198,29.955235
57346,10000,17,0.65452105,273.8435,100.39293,26.513857,23.12226,21.37659,20.130682,19.433443,0.0,0.0,0.0,0.0,11.396104,0.0,45.380074,1.5097898,1.1269307,0.5519505,0.81652266,0.6447441,2.7669642,-1.4708703,1.30463,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,25.29787,11.712652,377.97607,185.0689
56413,6691,169,0.61976445,199.30458,34.52255,24.179487,22.380884,21.026163,20.076925,19.527561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8942317,0.9082329,1.8033185,0.89886457,-3.4744723,2.420982,0.015386932,0.6940624,29.670952,10.220834,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,57.789833,10.683409,306.25806,65.5417
56413,6691,171,0.6269988,156.66197,47.120007,24.217054,21.528662,20.088919,19.159874,18.677586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4325999,2.017046,4.2342896,2.1051495,-6.0681868,4.064903,3.2738047,1.263812,4.437435,7.9370475,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,165.46512,38.167896,1063.0007,324.907
56413,6691,173,0.6340995,259.7447,34.910706,25.20242,22.663649,20.989704,19.795721,19.45751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.620975,6.6405373,7.4183273,6.4315047,-0.121066906,1.9665045,-2.3733907,2.0019164,-8.686405,43.981663,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,388.25192,111.99138,386.6561,92.65844
56413,6691,175,0.5945024,440.72726,96.48363,26.24729,21.975412,20.448133,19.211699,18.722263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3577466,1.1780316,0.74350214,1.1027933,-1.1826655,2.0611603,-3.0892663,1.547095,-1.3150077,2.957594,0.0,-2.0,0.0,-2.0,0.0,-1.0,0.0,-1.0,72.31227,16.891504,324.4771,167.43913
56413,6691,177,0.56222224,172.56374,30.755016,23.283798,21.886192,20.540897,19.488073,19.127163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.8803878,1.2487798,1.9430065,1.0229732,-0.84021014,1.0461683,-6.145756,6.6326594,0.0,-2.0,0.0,-2.0,0.0,-2.0,48.155388,1.506808,146.1895,52.690845
56413,6691,179,0.6593325,337.66772,57.1976,24.138098,22.985477,21.235783,19.904335,19.461334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.37814,395.9126,-287.5089,392.62048,-4.311129,1.8625827,-0.9416658,3.8701894,-127323.81,253608.73,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1451.0106,408.6427,352.64005,80.43746
56447,6714,721,0.5458747,300.1611,88.11048,24.64686,22.813875,20.893932,19.794888,19.340405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76010716,0.6132951,0.6231181,0.6311517,3.0887911,1.5535551,-0.04180856,0.5816037,-0.6830992,2.4480605,2.3476517,10.43563,-8.301512,5.2023487,0.0,-2.0,0.0,-2.0,48.549896,9.426117,300.5292,97.68082
56390,6682,581,0.4892029,201.974,49.536552,27.161518,21.166729,19.752655,18.955555,18.35295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.70946264,0.9618972,2.1716256,1.011183,1.4739766,2.7644024,0.5678453,0.8089579,0.464204,3.0139792,16.66395,5.014621,0.39739484,2.838875,9.886665,4.599973,-1.7945107,6.68807,74.42222,17.211916,306.47754,102.42122
56390,6682,583,0.45108864,195.41576,49.787735,22.709896,21.837366,20.39875,19.60077,19.191208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32731274,0.84662354,-0.007852761,0.8500226,-2.118515,1.1050205,0.37918517,0.8887145,0.22259194,1.1365328,4.513852,4.710868,-3.583914,3.7694826,1.3378981,2.594128,1.2068443,1.7750853,79.54718,20.498802,109.45443,35.88162
56390,6682,585,0.6702263,850.0,-3.0,21.617832,21.009026,20.283073,19.540482,19.0684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.071854,3.7491002,10.5407095,3.8547,4.624061,2.8418448,47.157265,2.9387555,0.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,242.88611,17.76045,587.3839,203.29893
56390,6682,587,0.6889082,265.38672,61.267166,24.500736,23.376877,21.511621,20.078815,19.393124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0449188,2.70618,-0.7221934,0.5380486,0.812772,2.7394347,0.3132895,0.25805113,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,9.37179,1.0984424,562.8767,166.01144
56390,6682,589,0.72043824,234.07855,61.96386,22.023533,21.403408,20.747374,19.807598,19.39358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1845517,1.5208832,6.2740984,1.7287846,11.580757,2.1664112,1.1199071,1.5420474,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,130.36646,34.31667,205.61847,28.299995
56390,6682,597,0.5487281,273.9845,29.239904,23.73389,22.172882,20.360985,19.41217,18.9412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6240413,3.9839408,-0.75037676,3.8639266,-0.7355161,2.2407463,4.37088,2.4691665,8.200442,4.1322813,-2.9468381,15.539129,3.3534374,17.4582,0.0,-2.0,0.0,-2.0,309.20987,13.504941,299.66956,79.744736
56390,6682,599,0.50913954,190.52066,28.634272,22.888128,22.106333,20.399672,19.461082,19.123299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3773518,0.7025221,-0.5045172,0.45458072,4.693877,1.7782072,0.19261327,0.63135546,-2.3502316,0.9271114,-2.3818398,3.8018851,-5.327868,2.5035436,4.581621,4.380779,-1.9866995,3.9091725,25.557419,7.0770836,180.31128,37.742813
56390,6682,603,0.5018752,180.08849,21.29881,23.22565,21.826353,20.099129,19.192787,18.773485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32654843,0.55679566,0.29889676,0.61940646,-0.50102645,0.9260737,0.44982114,0.6288266,-13.12575,3.3643763,-0.7015088,1.9810522,-0.007043527,1.6414775,-14.83354,4.8901653,-8.567856,3.3222613,35.678738,6.99706,74.59038,35.892982
